id,home,away,competition,time,status,score,votes,trend_home,trend_away,trend_home_desc,trend_away_desc,pop_rank_home,pop_rank_away,venue,attendance,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,avg_age_home,avg_age_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,fifa_rank_home,fifa_rank_away,fifa_rank_diff
4659260,Minnesota II,Sporting Kansas City II,MLS Next Pro,09-06-2026 00:00,finished,4:3,"{'home': 52.9, 'draw': 25.1, 'away': 22.1, 'total': 263}","[1, 1, 4, 0, 0]","[0, 1, 0, 0, 1]",🔴 状态糟糕 (1胜1平4负),🔴 状态糟糕 (0胜1平0负),2,4,,,0,0,0,0,0,0,,,True,Lineups,False,False,True,False,False,0,,,
4691652,Santeros de Aguada,Osos de Manati,BSN,09-06-2026 00:00,finished,106:105,"{'home': 55.0, 'draw': 2.5, 'away': 42.5, 'total': 40}","[1, 0, 0, 0, 1]","[0, 1, 1, 0, 0]",🔥 状态火热 (1胜0平0负),🔴 状态糟糕 (0胜1平1负),0,0,,,0,0,0,0,0,0,,,True,Box Score,False,False,True,False,False,0,,,
4729924,Quimsa,Gimnasia y Esgrima (CR),Liga Nacional,09-06-2026 00:00,finished,79:80,"{'home': 67.3, 'draw': 0.9, 'away': 31.8, 'total': 107}","[0, 0, 1, 0, 1]","[1, 1, 1, 0, 0]",🔴 状态糟糕 (0胜0平1负),⚠️ 状态低迷 (1胜1平1负),22,24,,,0,0,0,0,0,0,,,True,Box Score,False,False,True,False,True,0,,,
4733363,Belgrano De Tucuman,Club 9 de Julio Salta,Liga Federal,09-06-2026 00:00,finished,85:75,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[1, 1, 1, 0, 1]","[0, 0, 0, 1, 1]",⚠️ 状态低迷 (1胜1平1负),无比赛,0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733364,Concepción BB,Club Red Star de Catamarca,Liga Federal,09-06-2026 00:00,finished,80:88,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[0, 1, 0, 1, 0]","[1, 0, 0, 0, 0]",🔴 状态糟糕 (0胜1平0负),🔥 状态火热 (1胜0平0负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733365,El Carmen Básquet,Montmartre,Liga Federal,09-06-2026 00:00,finished,95:100,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0]",⚠️ 状态低迷 (1胜1平1负),🔴 状态糟糕 (0胜1平0负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733366,Quique Club,Rivadavia Juniors,Liga Federal,09-06-2026 00:00,finished,75:67,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[1, 1, 1, 0, 0]","[0, 0, 0, 0, 1]",⚠️ 状态低迷 (1胜1平1负),无比赛,0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733367,Gimnasia Y Esgrima De Santa Fe,Recreativo Bochas Club,Liga Federal,09-06-2026 00:00,finished,67:72,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[0, 1, 0, 0, 1]","[1, 1, 1, 1, 0]",🔴 状态糟糕 (0胜1平0负),⚠️ 状态低迷 (1胜1平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4728016,CD Español Osorno,Atlético Puerto Varas,LNB,09-06-2026 00:30,finished,69:55,"{'home': 72.4, 'draw': 3.4, 'away': 24.1, 'total': 29}","[1, 1, 0, 0, 1]","[0, 0, 1, 1, 0]",➡️ 状态一般 (1胜1平0负),🔴 状态糟糕 (0胜0平1负),2,2,,,0,0,0,0,0,0,,,True,Box Score,False,False,True,False,False,0,,,
4728489,New York Knicks,San Antonio Spurs,NBA,09-06-2026 00:30,finished,111:115,"{'home': 57.5, 'draw': 0.0, 'away': 42.4, 'total': 6884}","[0, 1, 1, 1, 1]","[1, 0, 0, 1, 1]",🔴 状态糟糕 (0胜1平1负),🔥 状态火热 (1胜0平0负),1354,1289,Madison Square Garden,19812,0,0,0,0,0,0,,,True,Box Score,False,False,True,True,True,0,,,
4733368,Talleres de Tafi Viejo,Asociación Mitre De Tucumán,Liga Federal,09-06-2026 00:30,finished,77:71,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[1, 0, 1, 1, 1]","[0, 0, 0, 0, 0]",➡️ 状态一般 (1胜0平1负),无比赛,0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733369,La Armonía,Juventud Sionista de Parana,Liga Federal,09-06-2026 00:30,finished,73:77,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[0, 0, 1, 0, 1]","[1, 0, 1, 1, 0]",🔴 状态糟糕 (0胜0平1负),➡️ 状态一般 (1胜0平1负),0,2,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4726311,Lebanon (W),Iran (W),AVC Women's Cup,09-06-2026 01:00,finished,0:3,"{'home': 39.0, 'draw': 2.4, 'away': 58.5, 'total': 41}","[0, 0]","[0, 0, 0, 1, 0]",无数据,无比赛,0,2,,,0,0,0,0,0,0,,,True,Box Score,False,False,True,False,False,0,,,
4733417,Panama (W),Jamaica (W),Friendly Women,09-06-2026 01:00,finished,0:0,"{'home': 32.9, 'draw': 17.1, 'away': 50.0, 'total': 76}","[2, 0, 1, 1, 1]","[2, 1, 1, 1, 1]",✅ 状态良好 (2胜0平1负),➡️ 状态一般 (2胜1平1负),136,123,,,0,0,0,0,0,0,,,False,,False,False,True,False,False,0,,,
4732850,Sultanes de Monterrey,Tigres de Quintana Roo,LMB,09-06-2026 01:30,finished,10:5,"{'home': 82.4, 'draw': 0.4, 'away': 17.3, 'total': 278}","[1, 0, 0, 0, 1]","[0, 0, 1, 0, 1]",🔥 状态火热 (1胜0平0负),🔴 状态糟糕 (0胜0平1负),55,34,,,0,0,0,0,0,0,,,False,,False,False,False,False,True,0,,,
4733188,Roswell,Aab Jaguars,Costa Rica Championship,09-06-2026 01:30,finished,95:85,"{'home': 23.1, 'draw': 7.7, 'away': 69.2, 'total': 13}","[1, 0, 1, 1, 1]","[0, 1, 0, 0, 0]",➡️ 状态一般 (1胜0平1负),🔴 状态糟糕 (0胜1平0负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4555207,Los Angeles Angels,Houston Astros,MLB,09-06-2026 01:38,finished,4:5,"{'home': 21.3, 'draw': 0.1, 'away': 78.7, 'total': 1801}","[0, 1, 0, 0, 1]","[1, 0, 1, 1, 0]",🔴 状态糟糕 (0胜1平0负),➡️ 状态一般 (1胜0平1负),220,340,Angel Stadium,,3,5,0,0,0,0,,,True,Box Score,False,False,False,True,True,0,,,
4555436,San Diego Padres,Cincinnati Reds,MLB,09-06-2026 01:40,finished,6:2,"{'home': 59.3, 'draw': 0.1, 'away': 40.6, 'total': 1323}","[1, 0, 1, 0, 0]","[0, 0, 0, 0, 0]",➡️ 状态一般 (1胜0平1负),无比赛,226,175,Petco Park,,5,2,0,0,0,0,,,True,Box Score,False,False,False,True,True,0,,,
4555364,San Francisco Giants,Washington Nationals,MLB,09-06-2026 01:45,finished,3:4,"{'home': 61.6, 'draw': 0.1, 'away': 38.3, 'total': 1385}","[0, 1, 0, 1, 1]","[1, 0, 1, 1, 0]",🔴 状态糟糕 (0胜1平0负),➡️ 状态一般 (1胜0平1负),505,179,Oracle Park,,3,3,0,0,0,0,,,True,Box Score,False,False,False,True,True,0,,,
4659708,Las Vegas Aces,Seattle Storm,WNBA,09-06-2026 02:00,finished,101:91,"{'home': 75.0, 'draw': 0.8, 'away': 24.2, 'total': 128}","[1, 1, 1, 1, 0]","[0, 0, 0, 0, 0]",⚠️ 状态低迷 (1胜1平1负),无比赛,21,23,Michelob Ultra Arena,10261,0,0,0,0,0,0,,,True,Box Score,True,True,True,True,True,0,,,
4705416,Peru,Spain,Friendly International,09-06-2026 02:00,finished,1:3,"{'home': 14.5, 'draw': 8.7, 'away': 76.8, 'total': 39757}","[0, 1, 2, 0, 1]","[1, 2, 2, 1, 2]",🔴 状态糟糕 (0胜1平2负),⚠️ 状态低迷 (1胜2平2负),5456,25377,,,0,0,0,0,0,0,,,True,Lineups,False,True,True,True,True,0,,,
4733254,Pietro Ricci,Miguel Tobon,Cattolica,09-06-2026 08:30,finished,0:0,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[1, 0]","[1, 0, 1, 0, 1]",无数据,➡️ 状态一般 (1胜0平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,True,False,False,0,,,
4733354,Equatorial Guinea,Comoros,Friendly International,09-06-2026 09:30,finished,,"{'home': 58.5, 'draw': 16.9, 'away': 24.6, 'total': 1059}","[2, 1, 0, 0, 0]","[0, 4, 2, 2, 0]",✅ 状态良好 (2胜1平0负),🔴 状态糟糕 (0胜4平2负),825,808,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732891,Schnaitter / Wallner,Paul Tommy / Shelton Ben,Stuttgart,09-06-2026 10:10,finished,,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[0, 1, 0, 1, 1]","[0, 0, 1]",🔴 状态糟糕 (0胜1平0负),🔴 状态糟糕 (0胜0平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4711096,Bahrain,Syria,Friendly International,09-06-2026 14:00,finished,,"{'home': 45.2, 'draw': 9.1, 'away': 45.6, 'total': 4374}","[0, 1, 0, 0, 1]","[0, 1, 0, 2, 2]",🔴 状态糟糕 (0胜1平0负),🔴 状态糟糕 (0胜1平0负),3455,2475,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4711780,Kuwait,Oman,Friendly International,09-06-2026 17:00,finished,,"{'home': 43.5, 'draw': 9.5, 'away': 47.0, 'total': 5095}","[2, 0, 0, 2, 1]","[1, 0, 1, 2, 0]",🔥 状态火热 (2胜0平0负),➡️ 状态一般 (1胜0平1负),3739,2831,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4555943,Athletics,Milwaukee Brewers,MLB,09-06-2026 02:05,live,10:10,"{'home': 16.9, 'draw': 0.1, 'away': 83.1, 'total': 1786}","[1, 0, 0, 0, 1]","[1, 1, 1, 0, 0]",🔥 状态火热 (1胜0平0负),⚠️ 状态低迷 (1胜1平1负),171,187,Las Vegas Ballpark,,7,7,0,0,0,0,,,True,Box Score,False,False,False,True,True,0,,,
4726308,Uzbekistan (W),Chinese Taipei (W),AVC Women's Cup,09-06-2026 04:00,live,0:3,"{'home': 53.3, 'draw': 6.7, 'away': 40.0, 'total': 15}","[0, 0]","[1, 1, 1, 0, 1]",无数据,⚠️ 状态低迷 (1胜1平1负),0,12,,,0,0,0,0,0,0,,,True,Box Score,False,False,True,False,False,0,,,
4733721,Tanzania,Rwanda,Friendly International,09-06-2026 04:00,upcoming,,"{'home': 56.6, 'draw': 14.5, 'away': 28.9, 'total': 173}","[1, 0, 0, 2, 2]","[1, 1, 0, 0, 1]",🔥 状态火热 (1胜0平0负),➡️ 状态一般 (1胜1平0负),918,535,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733722,Vanuatu,Fiji,Friendly International,09-06-2026 06:00,upcoming,,"{'home': 65.8, 'draw': 10.9, 'away': 23.4, 'total': 441}","[1, 3, 1, 1, 0]","[0, 0, 0, 0, 0]",⚠️ 状态低迷 (1胜3平1负),无比赛,102,124,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4710301,Japan (W),South Africa (W),Friendly Women,09-06-2026 06:30,upcoming,,"{'home': 71.6, 'draw': 10.4, 'away': 18.0, 'total': 183}","[1, 0, 1, 0, 1]","[0, 1, 1, 1, 4]",➡️ 状态一般 (1胜0平1负),🔴 状态糟糕 (0胜1平1负),241,185,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4726297,Philippines (W),South Korea (W),AVC Women's Cup,09-06-2026 07:00,upcoming,,"{'home': 33.3, 'draw': 4.8, 'away': 61.9, 'total': 21}","[1, 0, 1, 0, 1]","[1, 1, 0, 1, 0]",➡️ 状态一般 (1胜0平1负),➡️ 状态一般 (1胜1平0负),1,30,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733265,Max Hans Rehberg,Roberto Carballes,Cattolica,09-06-2026 08:00,upcoming,,"{'home': 27.8, 'draw': 5.6, 'away': 66.7, 'total': 18}","[0, 1, 0, 1, 0]","[0, 1, 0, 1, 2]",🔴 状态糟糕 (0胜1平0负),🔴 状态糟糕 (0胜1平0负),0,8,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733322,Gianmarco Ferrari,Sergio Callejon Hernando,Cattolica,09-06-2026 08:00,upcoming,,"{'home': 25.0, 'draw': 25.0, 'away': 50.0, 'total': 4}","[0, 1, 0, 0, 0]","[1, 1, 0, 0, 0]",🔴 状态糟糕 (0胜1平0负),➡️ 状态一般 (1胜1平0负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733326,Miguel Tobon,Alexander Vasilev,Cattolica,09-06-2026 08:00,upcoming,,"{'home': 62.5, 'draw': 12.5, 'away': 25.0, 'total': 8}","[1, 0, 1, 0, 1]","[0, 0, 1, 1, 0]",➡️ 状态一般 (1胜0平1负),🔴 状态糟糕 (0胜0平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732983,Genaro Olivieri,Chun Hsin Tseng,Bratislava,09-06-2026 08:30,upcoming,,"{'home': 36.4, 'draw': 9.1, 'away': 54.5, 'total': 11}","[0, 1, 0, 1, 1]","[0, 1, 0, 1, 1]",🔴 状态糟糕 (0胜1平0负),🔴 状态糟糕 (0胜1平0负),1,1,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733013,Robin Bertrand,Nikolas Sanchez-Izquierdo,Lyon,09-06-2026 08:30,upcoming,,"{'home': 16.7, 'draw': 16.7, 'away': 66.7, 'total': 6}","[0, 1, 0, 0, 0]","[0, 1, 1, 1, 0]",🔴 状态糟糕 (0胜1平0负),🔴 状态糟糕 (0胜1平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733305,Tristan Boyer,Raphael Perot,Lyon,09-06-2026 08:30,upcoming,,"{'home': 75.0, 'draw': 12.5, 'away': 12.5, 'total': 8}","[0, 1, 0, 1, 1]","[1, 1, 0, 1, 0]",🔴 状态糟糕 (0胜1平0负),➡️ 状态一般 (1胜1平0负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733336,Martin Krumich,Maxim Mrva,Bratislava,09-06-2026 08:30,upcoming,,"{'home': 60.0, 'draw': 20.0, 'away': 20.0, 'total': 5}","[1, 1, 0, 0, 1]","[0, 1, 1, 0, 1]",➡️ 状态一般 (1胜1平0负),🔴 状态糟糕 (0胜1平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733339,Tiago Pereira,Andrej Martin,Bratislava,09-06-2026 08:30,upcoming,,"{'home': 12.5, 'draw': 12.5, 'away': 75.0, 'total': 8}","[0, 1, 0, 0, 0]","[1, 1, 0, 1, 1]",🔴 状态糟糕 (0胜1平0负),➡️ 状态一般 (1胜1平0负),0,2,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4626720,Orix Buffaloes,Yakult Swallows,NPB,09-06-2026 09:00,upcoming,,"{'home': 58.8, 'draw': 5.9, 'away': 35.3, 'total': 17}","[0, 0, 2, 0, 0]","[0, 0, 0, 0, 1]",🔴 状态糟糕 (0胜0平2负),无比赛,5,8,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4626730,Nippon Ham Fighters,Yokohama Baystars,NPB,09-06-2026 09:00,upcoming,,"{'home': 65.2, 'draw': 4.3, 'away': 30.4, 'total': 23}","[1, 1, 1, 1, 0]","[0, 0, 1, 1, 0]",⚠️ 状态低迷 (1胜1平1负),🔴 状态糟糕 (0胜0平1负),11,6,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4626752,Fukuoka Hawks,Hanshin Tigers,NPB,09-06-2026 09:00,upcoming,,"{'home': 66.7, 'draw': 4.8, 'away': 28.6, 'total': 21}","[1, 1, 0, 1, 1]","[1, 1, 0, 0, 0]",➡️ 状态一般 (1胜1平0负),➡️ 状态一般 (1胜1平0负),6,14,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4626757,Seibu Lions,Hiroshima Toyo Carp,NPB,09-06-2026 09:00,upcoming,,"{'home': 66.7, 'draw': 8.3, 'away': 25.0, 'total': 12}","[1, 1, 0, 1, 1]","[1, 1, 2, 0, 1]",➡️ 状态一般 (1胜1平0负),⚠️ 状态低迷 (1胜1平2负),5,11,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4627038,Chiba Lotte Marines,Chunichi Dragons,NPB,09-06-2026 09:00,upcoming,,"{'home': 47.6, 'draw': 4.8, 'away': 47.6, 'total': 21}","[2, 2, 0, 1, 0]","[0, 0, 1, 0, 0]",➡️ 状态一般 (2胜2平0负),🔴 状态糟糕 (0胜0平1负),5,6,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4627059,Rakuten Gold Eagles,Yomiuri Giants,NPB,09-06-2026 09:00,upcoming,,"{'home': 31.2, 'draw': 6.2, 'away': 62.5, 'total': 16}","[0, 0, 0, 1, 1]","[2, 2, 1, 1, 1]",无比赛,➡️ 状态一般 (2胜2平1负),6,14,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4654171,East Timor,Brunei,ASEAN Championship,09-06-2026 09:00,upcoming,,"{'home': 63.6, 'draw': 15.6, 'away': 20.8, 'total': 269}","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",🔥 状态火热 (1胜0平0负),无比赛,290,167,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732968,Roberto Bautista,Marcos Giron,Stuttgart,09-06-2026 09:00,upcoming,,"{'home': 34.7, 'draw': 0.4, 'away': 64.9, 'total': 225}","[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]",无比赛,无比赛,245,6,Colosseum,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732970,Yannick Hanfmann,Aleksandar Kovacevic,Stuttgart,09-06-2026 09:00,upcoming,,"{'home': 70.6, 'draw': 0.5, 'away': 28.9, 'total': 187}","[0, 0, 1, 0, 1]","[0, 0, 1, 1, 1]",🔴 状态糟糕 (0胜0平1负),🔴 状态糟糕 (0胜0平1负),4,2,CENTER COURT,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732978,Dayana Yastremska,Sara Bejlek,Hertogenbosch,09-06-2026 09:00,upcoming,,"{'home': 68.5, 'draw': 1.9, 'away': 29.6, 'total': 54}","[0, 1, 1, 1, 1]","[0, 1, 0, 0, 0]",🔴 状态糟糕 (0胜1平1负),🔴 状态糟糕 (0胜1平0负),3,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732992,Gabriel Diallo,Adrian Mannarino,Hertogenbosch,09-06-2026 09:00,upcoming,,"{'home': 67.8, 'draw': 0.4, 'away': 31.8, 'total': 242}","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 0]",无比赛,无比赛,3,98,CENTRE COURT,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733002,Jiang X./Xu Y.,Detiuc A./Khromacheva I.,Hertogenbosch,09-06-2026 09:00,upcoming,,"{'home': 33.3, 'draw': 33.3, 'away': 33.3, 'total': 3}","[0, 0, 0, 1, 0]","[0, 1, 0, 1, 1]",无比赛,🔴 状态糟糕 (0胜1平0负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733194,Greet Minnen,Janice Tjen,Hertogenbosch,09-06-2026 09:00,upcoming,,"{'home': 39.5, 'draw': 2.6, 'away': 57.9, 'total': 38}","[1, 1, 0, 1, 1]","[0, 1, 0, 0, 1]",➡️ 状态一般 (1胜1平0负),🔴 状态糟糕 (0胜1平0负),1,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733195,Jaume Munar,Martin Damm,Hertogenbosch,09-06-2026 09:00,upcoming,,"{'home': 73.9, 'draw': 0.6, 'away': 25.6, 'total': 180}","[0, 0, 1, 1, 0]","[1, 1, 0, 0, 1]",🔴 状态糟糕 (0胜0平1负),➡️ 状态一般 (1胜1平0负),6,0,COURT 2,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733200,Katie Volynets,Zeynep Sonmez,Hertogenbosch,09-06-2026 09:00,upcoming,,"{'home': 39.6, 'draw': 2.1, 'away': 58.3, 'total': 48}","[1, 1, 0, 1, 0]","[0, 0, 1, 0, 1]",➡️ 状态一般 (1胜1平0负),🔴 状态糟糕 (0胜0平1负),1,1,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733264,Quentin Halys,Sho Shimabukuro,Stuttgart,09-06-2026 09:00,upcoming,,"{'home': 86.0, 'draw': 0.6, 'away': 13.4, 'total': 172}","[0, 1, 1, 0, 1]","[1, 1, 0, 1, 1]",🔴 状态糟糕 (0胜1平1负),➡️ 状态一般 (1胜1平0负),3,1,Match Court 2,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733306,Pedro Martinez,Svyatoslav Gulin,Lyon,09-06-2026 09:00,upcoming,,"{'home': 66.7, 'draw': 16.7, 'away': 16.7, 'total': 6}","[0, 1, 0, 1, 1]","[1, 1, 0, 1, 1]",🔴 状态糟糕 (0胜1平0负),➡️ 状态一般 (1胜1平0负),4,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733323,Petr Nesterov,Marco Cecchinato,Cattolica,09-06-2026 09:10,upcoming,,"{'home': 12.5, 'draw': 12.5, 'away': 75.0, 'total': 8}","[1, 1, 0, 1, 0]","[0, 1, 1, 0, 0]",➡️ 状态一般 (1胜1平0负),🔴 状态糟糕 (0胜1平1负),0,40,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733324,Gonzalo Bueno,Francesco Forti,Cattolica,09-06-2026 09:10,upcoming,,"{'home': 77.8, 'draw': 11.1, 'away': 11.1, 'total': 9}","[0, 0, 0, 1, 1]","[1, 1, 0, 1, 1]",无比赛,➡️ 状态一般 (1胜1平0负),1,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733325,Carlos Sanchez Jover,Matej Dodig,Cattolica,09-06-2026 09:10,upcoming,,"{'home': 25.0, 'draw': 25.0, 'away': 50.0, 'total': 4}","[1, 1, 0, 0, 0]","[0, 1, 0, 1, 0]",➡️ 状态一般 (1胜1平0负),🔴 状态糟糕 (0胜1平0负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733426,Hanwha Eagles,KIA Tigers,KBO,09-06-2026 09:30,upcoming,,"{'home': 50.0, 'draw': 5.0, 'away': 45.0, 'total': 20}","[1, 1, 1, 0, 2]","[1, 0, 1, 1, 0]",⚠️ 状态低迷 (1胜1平1负),➡️ 状态一般 (1胜0平1负),11,4,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733427,Kt Wiz Suwon,Samsung Lions,KBO,09-06-2026 09:30,upcoming,,"{'home': 35.3, 'draw': 5.9, 'away': 58.8, 'total': 17}","[0, 1, 0, 0, 1]","[0, 1, 0, 0, 0]",🔴 状态糟糕 (0胜1平0负),🔴 状态糟糕 (0胜1平0负),2,12,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733428,Lotte Giants,Doosan Bears,KBO,09-06-2026 09:30,upcoming,,"{'home': 29.4, 'draw': 5.9, 'away': 64.7, 'total': 17}","[0, 0, 0, 0, 1]","[0, 1, 1, 1, 2]",无比赛,🔴 状态糟糕 (0胜1平1负),3,3,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733429,LG Twins,SSG Landers,KBO,09-06-2026 09:30,upcoming,,"{'home': 76.2, 'draw': 4.8, 'away': 19.0, 'total': 21}","[0, 0, 1, 1, 0]","[1, 0, 1, 1, 1]",🔴 状态糟糕 (0胜0平1负),➡️ 状态一般 (1胜0平1负),12,3,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733430,Kiwoom Heroes,NC Dinos,KBO,09-06-2026 09:30,upcoming,,"{'home': 47.4, 'draw': 5.3, 'away': 47.4, 'total': 19}","[1, 0, 0, 0, 0]","[1, 1, 0, 1, 1]",🔥 状态火热 (1胜0平0负),➡️ 状态一般 (1胜1平0负),10,11,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732973,Calvin Hemery,Alejandro Moro Canas,Lyon,09-06-2026 09:40,upcoming,,"{'home': 25.0, 'draw': 25.0, 'away': 50.0, 'total': 4}","[0, 0, 1, 0, 1]","[0, 1, 1, 0, 0]",🔴 状态糟糕 (0胜0平1负),🔴 状态糟糕 (0胜1平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732985,Lukas Pokorny,Alex Barrena,Bratislava,09-06-2026 09:40,upcoming,,"{'home': 33.3, 'draw': 16.7, 'away': 50.0, 'total': 6}","[0, 1, 0, 1, 0]","[0, 0, 0, 0, 0]",🔴 状态糟糕 (0胜1平0负),无比赛,0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733008,Zdenek Kolar,Jason Jung,Bratislava,09-06-2026 09:40,upcoming,,"{'home': 25.0, 'draw': 25.0, 'away': 50.0, 'total': 4}","[0, 0, 1, 0, 1]","[0, 0, 0, 0, 0]",🔴 状态糟糕 (0胜0平1负),无比赛,0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733304,Max Alcala Gurri,Dali Blanch,Lyon,09-06-2026 09:40,upcoming,,"{'home': 66.7, 'draw': 16.7, 'away': 16.7, 'total': 6}","[1, 1, 1, 1, 1]","[0, 1, 1, 1, 0]",⚠️ 状态低迷 (1胜1平1负),🔴 状态糟糕 (0胜1平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733334,Abdullah Shelbayh,Petr Brunclik,Bratislava,09-06-2026 09:40,upcoming,,"{'home': 77.8, 'draw': 11.1, 'away': 11.1, 'total': 9}","[1, 1, 0, 1, 1]","[0, 1, 1, 0, 0]",➡️ 状态一般 (1胜1平0负),🔴 状态糟糕 (0胜1平1负),1,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4732913,Guo H./Mladenovic K.,Muhammad A./Stollar F.,Queen's,09-06-2026 10:00,upcoming,,"{'home': 42.9, 'draw': 14.3, 'away': 42.9, 'total': 7}","[0, 1, 1, 1, 0]","[0, 0, 1]",🔴 状态糟糕 (0胜1平1负),🔴 状态糟糕 (0胜0平1负),0,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
4733259,Iva Jovic,Antonia Ruzic,Queen's,09-06-2026 10:00,upcoming,,"{'home': 93.8, 'draw': 1.2, 'away': 4.9, 'total': 81}","[0, 1, 1, 0, 0]","[1, 1, 0, 1, 0]",🔴 状态糟糕 (0胜1平1负),➡️ 状态一般 (1胜1平0负),13,0,,,0,0,0,0,0,0,,,False,,False,False,False,False,False,0,,,
